Company,GLControlType,GLAcctContext,BookID,Required,AllBooks,UseMasterChart
EPIC07,Alternative Deduction,Default,,0,1,0
EPIC07,AP Account,Payables,,1,1,0
EPIC07,AP Account,Payment Discount,,1,1,0
EPIC07,AP Account,Expense,,1,1,0
EPIC07,AP Account,Clearing,,0,1,0
EPIC07,AP Account,Variance,,1,1,0
EPIC07,AP Account,Advance Payment,,1,1,0
EPIC07,AP Account,Integrated Payment,,0,1,0
EPIC07,AP Account,Landed Cost,,0,1,0
EPIC07,AP Account,Rounding Difference,,0,1,0
EPIC07,AP Account,Payables Suspense,,0,1,0
EPIC07,AP Account,Expense Suspense,,0,1,0
EPIC07,AP Account,Tax Suspense,,0,1,0
EPIC07,AP Account,Revaluation Accrual,,0,1,0
EPIC07,AP Account,Prepayment,,1,1,0
EPIC07,AP Account,AP Account,,0,1,0
EPIC07,AR Account,Receivables,,1,1,0
EPIC07,AR Account,Sales,,1,1,0
EPIC07,AR Account,Returns,,1,1,0
EPIC07,AR Account,Sales Discount,,1,1,0
EPIC07,AR Account,Prepayment,,1,1,0
EPIC07,AR Account,Unapplied Cash,,1,1,0
EPIC07,AR Account,Deferred Revenue,,1,1,0
EPIC07,AR Account,Payment Discount,,1,1,0
EPIC07,AR Account,Rebate,,0,1,0
EPIC07,AR Account,Integrated Payment,,0,1,0
EPIC07,AR Account,COS Material,,0,1,0
EPIC07,AR Account,COS Labor,,0,1,0
EPIC07,AR Account,COS Burden,,0,1,0
EPIC07,AR Account,COS Subcontract,,0,1,0
EPIC07,AR Account,COS Material Burden,,0,1,0
EPIC07,AR Account,COS Rounding,,0,1,0
EPIC07,AR Account,Rounding Difference,,0,1,0
EPIC07,AR Account,Revaluation Accrual,,0,1,0
EPIC07,AR Account,PB Accrued Sales Recognized,,0,1,0
EPIC07,AR Account,PB Retained Revenue,,0,1,0
EPIC07,AR Account,Return Discount,,0,1,0
EPIC07,AR Account,Deferred Returns,,0,1,0
EPIC07,AR Account,Invoiced Deposits,,1,1,0
EPIC07,Asset,Asset Clearing,,1,1,0
EPIC07,Asset Group,Depreciation Provision,,1,1,0
EPIC07,Asset Group,Depreciation Charge,,1,1,0
EPIC07,Asset Group,Addition Provision,,1,1,0
EPIC07,Asset Group,Disposal Cost,,1,1,0
EPIC07,Asset Group,Disposal Provision,,1,1,0
EPIC07,Asset Group,Disposal Gain/Loss,,1,1,0
EPIC07,Asset Group,Asset Cost,,1,1,0
EPIC07,Asset Group,Grant,,0,1,0
EPIC07,Asset Group,Impairment Control,,0,1,0
EPIC07,Asset Group,Unrecognized Grant,,0,1,0
EPIC07,Asset Group,Provision Control,,0,1,0
EPIC07,Asset Group,Grant Control,,0,1,0
EPIC07,Asset Group,Asset Cost,,1,1,0
EPIC07,Bank Account,Cash,,1,1,0
EPIC07,Bank Account,AP Pending Cash,,0,1,0
