Company,RptCatCode,Description,GlobalTaxRptCat,GlobalLock
EPIC07,DI,Domestic Input,FALSE,FALSE
EPIC07,DO,Domestic Output,FALSE,FALSE
EPIC07,EUGI,EU Goods Input,FALSE,FALSE
EPIC07,EUGO,EU Goods Output,FALSE,FALSE
EPIC07,EUGSAO,EU Goods SA Output,FALSE,FALSE
EPIC07,EUSI,EU Services Input,FALSE,FALSE
EPIC07,EUSO,EU Services Output,FALSE,FALSE
EPIC07,EUSSAO,EU Services SA Output,FALSE,FALSE
EPIC07,ROWO,Export,FALSE,FALSE
EPIC07,ROWI,Import,FALSE,FALSE
EPIC07,IGI,Inter-Group Input,FALSE,FALSE
EPIC07,IGO,Inter-Group Output,FALSE,FALSE
