UOMClassID,Description,ClassType,UOMConv#UOMCode,UOMConv#ConvFactor
Count,Count,Count,EA,1
Count,Count,Count,C,100
Count,Count,Count,K,1000
Sheet,Sheet,Area,SH,1
Length,Length,Length,MM,1
Length,Length,Length,CM,10
Length,Length,Length,M,1000
Length,Length,Length,KM,1000000
Length,Length,Length,IN,25.4
Length,Length,Length,FT,304.8
Length,Length,Length,YD,914.4
Length,Length,Length,MI,1609000
Weight,Weight,Weight,G,1
Weight,Weight,Weight,MG,0.001
Weight,Weight,Weight,KG,1000
Weight,Weight,Weight,MT,1000000
Weight,Weight,Weight,OZ,28.3495
Weight,Weight,Weight,LB,453.592
Weight,Weight,Weight,ST,6350.29
Weight,Weight,Weight,TN,907185
Volume,Volume,Volume,LI,1
Volume,Volume,Volume,ML,0.001
Volume,Volume,Volume,CL,0.01
Volume,Volume,Volume,M3,1000
Volume,Volume,Volume,OZF,0.0295735
Volume,Volume,Volume,QT,0.946353
Volume,Volume,Volume,PI,3.78541
Volume,Volume,Volume,GL,3.78541
Time,Time,Time,HR,1
Time,Time,Time,S,0.000277778
Time,Time,Time,MN,0.0166667
Time,Time,Time,DY,24
Time,Time,Time,WK,168
